city,city_aliases,category,name,type,district,highlights,suggested_visit_time,avg_cost,best_for,notes
Beijing,beijing|bj|??,attraction,Forbidden City,palace museum,Dongcheng,"Imperial palace complex, central axis, iconic Beijing architecture",3-5 hours,60,"history,architecture,first-time visitors",Advance reservation strongly recommended
Beijing,beijing|bj|??,attraction,Temple of Heaven,historic park,Dongcheng,"Prayer Hall, ritual architecture, broad parkland",2-3 hours,34,"history,walking,photography",Morning visits also show local park life
Beijing,beijing|bj|??,attraction,Summer Palace,royal garden,Haidian,"Kunming Lake, Long Corridor, hilltop pavilions",3-4 hours,30,"gardens,walking,family",Wear comfortable shoes because the area is large
Beijing,beijing|bj|??,attraction,Badaling Great Wall,great wall,Yanqing,"Classic Great Wall section, panoramic mountain views",4-6 hours,40,"landmarks,photography,history",Include transport time in the day plan
Beijing,beijing|bj|??,attraction,Guozijian and Confucius Temple,historic complex,Dongcheng,"Red walls, scholar atmosphere, quieter cultural stop",1.5-2 hours,30,"culture,photography,light itinerary",Pairs well with nearby Yonghe Temple
Beijing,beijing|bj|??,food,Quanjude Roast Duck,roast duck restaurant,Dongcheng,Classic Beijing roast duck and formal dining experience,1-1.5 hours,150,"signature dish,family meal",Good for a representative Beijing dinner
Beijing,beijing|bj|??,food,Da Dong Roast Duck,roast duck restaurant,Chaoyang,Refined roast duck experience with modern presentation,1-1.5 hours,220,"fine dining,celebration meals",Best when budget is comfortable
Beijing,beijing|bj|??,food,Niujie Snack Area,food street,Xicheng,"Halal snacks, pastries, yogurt drinks, lamb dishes",1-2 hours,45,"snacks,local food,budget dining",Great area for tasting many Beijing snacks at once
Beijing,beijing|bj|??,food,Huguosi Snacks,snack shop,Xicheng,Traditional Beijing snacks such as douzhi and pea cake,0.5-1 hour,35,"traditional snacks,quick bite",Easy short stop between attractions
Beijing,beijing|bj|??,food,Guijie Night Dining,night food street,Dongcheng,"Late-night skewers, crayfish, and lively street energy",1-2 hours,80,"nightlife,shared meals,late supper",Best after sunset
Shanghai,shanghai|sh|??,attraction,The Bund,waterfront,Huangpu,Historic riverfront skyline and colonial-era buildings,1-2 hours,0,"night view,city walk,photography",Best around sunset and early evening
Shanghai,shanghai|sh|??,attraction,Yuyuan Garden,classical garden,Huangpu,Classic Jiangnan garden design and old city atmosphere,2-3 hours,40,"culture,architecture,photography",Easy to combine with nearby snack streets
Shanghai,shanghai|sh|??,attraction,Shanghai Museum East,museum,Pudong,"Strong bronzes, ceramics, calligraphy and painting collections",2-4 hours,0,"history,museum,rainy day backup",Allow extra time for major exhibition halls
Shanghai,shanghai|sh|??,attraction,Wukang Road and Anfu Road,historic street,Xuhui,"Plane trees, cafes, boutique shops and historic residences",2-3 hours,0,"citywalk,coffee,photography",A relaxed daytime wandering route
Shanghai,shanghai|sh|??,attraction,Lujiazui Riverside,riverfront,Pudong,Modern skyline views near Oriental Pearl and financial towers,1.5-2 hours,0,"landmarks,night view,photography",Works well as an evening finale
Shanghai,shanghai|sh|??,food,Chenghuangmiao Snack Area,food street,Huangpu,"Soup dumplings, pastries and quick Shanghai snack tasting",1-2 hours,50,"snacks,first-time visitors,flexible meals",Touristy but efficient for many snack samples
Shanghai,shanghai|sh|??,food,Jia Jia Tang Bao,xiaolongbao restaurant,Huangpu,Well-known soup dumplings with strong local reputation,0.5-1 hour,35,"xiaolongbao,budget food,quick meal",Queues are common at meal time
Shanghai,shanghai|sh|??,food,Guangmingcun Fresh Meat Mooncake,bakery,Huangpu,Popular flaky meat mooncakes and local bakery classic,0.5 hour,20,"snacks,souvenirs,local favorite",Wait times rise around holidays and weekends
Shanghai,shanghai|sh|??,food,Yunnan South Road Food Street,food street,Huangpu,Dense old-school eateries and local comfort food,1-2 hours,45,"old brands,dinner,local flavor",Good if you want several heritage restaurants nearby
Shanghai,shanghai|sh|??,food,Old Jesse Benbang Cuisine,restaurant,Xuhui,Rich local Shanghai flavors and classic home-style dishes,1-1.5 hours,120,"formal meal,local cuisine",A strong choice for a dedicated Shanghai meal
Hangzhou,hangzhou|hz|??,attraction,West Lake,scenic area,Xihu,"Broken Bridge, Su Causeway and classic Hangzhou lakeside scenery",3-5 hours,0,"photography,walking,first-time visitors",Beautiful in the morning and at sunset
Hangzhou,hangzhou|hz|??,attraction,Lingyin Temple,temple,Xihu,Ancient Buddhist temple and Feilai Peak carvings in a wooded setting,2-4 hours,45,"culture,quiet visits,history",Go earlier on busy days
Hangzhou,hangzhou|hz|??,attraction,Faxi Temple,temple,Xihu,"Yellow walls, hill views and a calm spiritual atmosphere",1.5-2.5 hours,10,"photography,prayer,light route",Pairs well with nearby tea village routes
Hangzhou,hangzhou|hz|??,attraction,Hefang Street,historic street,Shangcheng,"Old street energy, local shopping and dense snack options",1-2 hours,0,"night walk,snacks,first-time visitors",More lively after dark
Hangzhou,hangzhou|hz|??,attraction,Longjing Village,tea village,Xihu,"Tea fields, Dragon Well culture and rural scenery",2-3 hours,0,"tea culture,photography,slow travel",Best in good weather
Hangzhou,hangzhou|hz|??,food,Louwailou West Lake Vinegar Fish,restaurant,Xihu,Classic Hangzhou fish dish in a traditional setting,1-1.5 hours,120,"signature local food,family meal",Good for one formal Hangzhou meal
Hangzhou,hangzhou|hz|??,food,Zhiweiguan Snacks,snack shop,Shangcheng,"Slices of classic Hangzhou noodles, dumplings and local sweets",0.5-1 hour,35,"snacks,quick meal,first visit",Efficient for trying several Hangzhou tastes
Hangzhou,hangzhou|hz|??,food,Hubin Pedestrian Street Snacks,food street,Shangcheng,"Lakeside dessert, drinks and casual snack hopping",1-2 hours,35,"night stroll,light food,young travelers",Works well as an easy evening stop
Hangzhou,hangzhou|hz|??,food,Kuiyuan Guan Pianerchuan,noodle shop,Gongshu,Classic Hangzhou noodle house known for pianerchuan,0.5-1 hour,30,"noodles,old brand,budget dining",Busy during lunch
Hangzhou,hangzhou|hz|??,food,Wushan Roast Delicacies,local deli,Shangcheng,Soy duck and local deli items suitable for takeaway,0.5 hour,40,"souvenirs,quick bites,local flavor",Better for takeout than a sit-down meal
Zhengzhou,zhengzhou|zz|??,attraction,Henan Museum,museum,Jinshui,Major Central Plains history collection with bronzes and ceramics,2-3 hours,0,"history,museum lovers,students",Reservation may be needed on busy days
Zhengzhou,zhengzhou|zz|??,attraction,Erqi Memorial Tower,landmark,Erqi,Iconic city landmark with easy access and symbolic history,1-1.5 hours,0,"city landmarks,photography,short visit",Easy to combine with nearby shopping streets
Zhengzhou,zhengzhou|zz|??,attraction,Shangdu Site Museum,museum,Guancheng,Ancient capital history and archaeological site displays,1.5-2 hours,0,"history,culture,museum",Good for travelers who enjoy early urban history
Zhengzhou,zhengzhou|zz|??,attraction,Bishagang Park,city park,Zhongyuan,Large city park for relaxed walking and green scenery,1-2 hours,0,"walking,relaxation,family",Works well in late afternoon
Zhengzhou,zhengzhou|zz|??,attraction,Zhengzhou Memory Oil Factory Creative Park,creative park,Zhongyuan,Industrial-style photo spot with cafes and creative shops,1-2 hours,0,"photography,citywalk,light route",Good for a relaxed modern stop
Zhengzhou,zhengzhou|zz|??,food,Dehua Food Street,food street,Erqi,Dense local snack options near the city landmark area,1-2 hours,40,"snacks,dinner,night walk",Convenient with Erqi Square plans
Zhengzhou,zhengzhou|zz|??,food,Health Road Night Market,night market,Jinshui,Popular local night market with strong street-food energy,1-2 hours,35,"night market,street food,budget trips",Best after 7 pm; classic local night market
Zhengzhou,zhengzhou|zz|??,food,Heji Stewed Noodles,noodle shop,Erqi,Henan-style braised noodles with rich broth,0.5-1 hour,28,"local specialty,quick meal,noodles",A good first Zhengzhou meal
Zhengzhou,zhengzhou|zz|??,food,Geji Menbing,local restaurant,Guancheng,Local-style braised pancake dishes and home-style flavors,1 hour,35,"regional food,casual meal",Better when shared with others
Zhengzhou,zhengzhou|zz|??,food,Fangzhongshan Spicy Soup,breakfast shop,Jinshui,Hu la tang breakfast with fried bread and local flavor,0.5 hour,18,"breakfast,local experience,budget dining",Best in the morning
Chengdu,chengdu|cd|??,attraction,Jinli Ancient Street,old street,Wuhou,"Traditional lane style, lanterns and many snack options",1.5-2.5 hours,0,"night walk,first-time visitors,photography",Touristy but still classic
Chengdu,chengdu|cd|??,attraction,Chengdu Panda Base,zoo,Chenghua,"Pandas, bamboo gardens and one of the citys most popular visits",3-4 hours,55,"family,animals,photography",Go early when pandas are more active
Chengdu,chengdu|cd|??,attraction,Kuanzhai Alley,historic street,Qingyang,"Tea houses, local architecture and easy strolling",1.5-2.5 hours,0,"citywalk,tea culture,first visit",Better for slow pacing than rushing
Chengdu,chengdu|cd|??,attraction,Du Fu Thatched Cottage,museum park,Qingyang,"Poetry heritage, gardens and quiet cultural atmosphere",2-3 hours,50,"culture,walking,rainy day backup",Ideal for literature lovers
Chengdu,chengdu|cd|??,attraction,Peoples Park and Heming Teahouse,park,Qingyang,"Tea culture, relaxed park life and local leisure atmosphere",1-2 hours,0,"relaxation,local life,light route",Useful for balancing a busy itinerary
Chengdu,chengdu|cd|??,food,Chen Mapo Tofu,restaurant,Qingyang,Signature Sichuan dish with strong local recognition,1-1.5 hours,70,"classic Sichuan dishes,formal meal",A solid first serious Sichuan meal
Chengdu,chengdu|cd|??,food,Kuanzhai Snack Stalls,food street,Qingyang,"Sweet water noodles, bell dumplings and more snack variety",1-2 hours,45,"snacks,first visit,light wandering",Good for grazing rather than one long meal
Chengdu,chengdu|cd|??,food,Jianshe Road Snack Street,food street,Chenghua,"Young crowd, late snacks and broad food choice",1-2 hours,40,"night snacks,street food,budget trips",Best after sunset
Chengdu,chengdu|cd|??,food,Long Chao Shou,snack shop,Qingyang,Wontons and small Chengdu dishes from a classic local brand,0.5-1 hour,28,"old brand,quick bite,local flavor",Good for a short meal stop
Chengdu,chengdu|cd|??,food,Xiaolongkan Hotpot,hotpot restaurant,Wuhou,"Famous spicy hotpot, best with a group",1.5-2 hours,110,"hotpot,friends dinner,night meal",Queues are common at busy times
Xian,xian|xi'an|xa|??,attraction,Terracotta Warriors Museum,museum,Lintong,World-famous archaeological site and dramatic terracotta army halls,3-4 hours,120,"history,major landmarks,first visit",Include transport time from the city center
Xian,xian|xi'an|xa|??,attraction,Xian City Wall,city wall,Xincheng,Ancient wall ride and broad city views,2-3 hours,54,"cycling,history,photography",Late afternoon is comfortable in warm months
Xian,xian|xi'an|xa|??,attraction,Grand Tang Dynasty Ever Bright City,pedestrian avenue,Yanta,"Night lights, performances and strong photo appeal",2-3 hours,0,"night view,photography,first-time visitors",Most attractive after dark
Xian,xian|xi'an|xa|??,attraction,Shaanxi History Museum,museum,Yanta,Top-tier collections for understanding local history,2-4 hours,0,"museum,history,rainy day backup",Reservations can be tight
Xian,xian|xi'an|xa|??,attraction,Giant Wild Goose Pagoda,historic tower,Yanta,Important Buddhist landmark with strong evening atmosphere,1.5-2 hours,30,"landmark,culture,night view",Works well with nearby night district plans
Xian,xian|xi'an|xa|??,food,Muslim Quarter Snacks,food street,Lianhu,"Roujiamo, noodles, skewers and energetic night food scene",1-2 hours,40,"street food,night walk,first-time visitors",Easy way to sample many Xian snacks
Xian,xian|xi'an|xa|??,food,Defachang Dumpling Banquet,restaurant,Xincheng,Formal dumpling banquet with varied shapes and fillings,1-1.5 hours,90,"regional specialties,group meal,formal dining",Good for a dedicated Xian dinner
Xian,xian|xi'an|xa|??,food,Lao Sunjia Yangrou Paomo,restaurant,Beilin,"Classic lamb soup with bread, strong regional identity",1 hour,45,"local signature,proper meal,history feel",Helpful to ask staff for first-timer ordering guidance
Xian,xian|xi'an|xa|??,food,Ziwu Road Roujiamo,snack shop,Yanta,Popular roujiamo stop with quick service,0.5 hour,20,"quick bite,local staple,budget dining",Useful between attractions
Xian,xian|xi'an|xa|??,food,Biangbiang Noodle House,noodle shop,Beilin,Wide noodles with strong chili aroma and classic Shaanxi flavor,0.5-1 hour,25,"noodles,regional flavor,quick lunch",Good fast lunch option
Guangzhou,guangzhou|gz|??,attraction,Chen Clan Ancestral Hall,historic hall,Liwan,"Lingnan carvings, ancestral hall art and regional architecture",1.5-2 hours,10,"architecture,culture,photography",Pairs well with nearby historic lanes
Guangzhou,guangzhou|gz|??,attraction,Shamian Island,historic island,Liwan,European-style old buildings and cafe-friendly walking,1.5-2 hours,0,"photography,citywalk,light route",Best enjoyed in good weather
Guangzhou,guangzhou|gz|??,attraction,Canton Tower,observation tower,Haizhu,City landmark and skyline highlight,1.5-2.5 hours,150,"night view,landmark,couples",Budget travelers can simply enjoy riverside tower views
Guangzhou,guangzhou|gz|??,attraction,Yongqingfang,historic block,Liwan,"Xiguan charm, creative shops and Cantonese culture touches",1.5-2 hours,0,"citywalk,photography,food",Easy to connect with nearby shopping streets
Guangzhou,guangzhou|gz|??,attraction,Baiyun Mountain,mountain park,Baiyun,Urban mountain escape with city viewpoints and greenery,3-4 hours,5,"nature,hiking,family",Start early on hot days
Guangzhou,guangzhou|gz|??,food,Dian Dou De Dim Sum,dim sum restaurant,Yuexiu,"Shrimp dumplings, buns and classic yum cha experience",1-1.5 hours,85,"brunch,first-time visitors,family meal",Works well for breakfast or brunch
Guangzhou,guangzhou|gz|??,food,Tao Tao Ju,dim sum restaurant,Liwan,Famous old-brand Cantonese dim sum,1-1.5 hours,90,"old brand,formal meal,brunch",Busy periods may involve waiting
Guangzhou,guangzhou|gz|??,food,Shangxiajiu Snack Strip,food street,Liwan,"Rice rolls, milk pudding, beef offal and varied snacks",1-2 hours,35,"snacks,night walk,budget-friendly",Great for grazing on multiple local foods
Guangzhou,guangzhou|gz|??,food,Bingsheng Cantonese Cuisine,restaurant,Tianhe,Refined Cantonese dining with roast meats and seafood,1-1.5 hours,130,"formal dinner,Cantonese cuisine,business family meal",Best when budget allows a full local dinner
Guangzhou,guangzhou|gz|??,food,Baohua Noodle Shop,noodle shop,Liwan,Bamboo-pressed noodles and wonton noodle classics,0.5-1 hour,28,"noodles,old brand,quick meal",Good practical lunch stop
Shenzhen,shenzhen|sz|??,attraction,Shenzhen Bay Park,seaside park,Nanshan,"Seaside trail, sunset views and relaxed cycling atmosphere",1.5-2.5 hours,0,"walking,cycling,sunset",Best near dusk
Shenzhen,shenzhen|sz|??,attraction,OCT Loft,creative park,Nanshan,"Industrial renovation, galleries, cafes and creative shops",2-3 hours,0,"photography,citywalk,young travelers",A good half-day relaxed route
Shenzhen,shenzhen|sz|??,attraction,Lianhuashan Park,city park,Futian,Easy hill walk with central skyline views,1.5-2 hours,0,"walking,landmark views,light hiking",Good before sunset
Shenzhen,shenzhen|sz|??,attraction,Dafen Oil Painting Village,art district,Longgang,Art-themed streets and photo-friendly studios,1.5-2 hours,0,"arts,photography,light route",Works well with nearby cafes
Shenzhen,shenzhen|sz|??,attraction,Window of the World,theme park,Nanshan,World landmark miniatures and family entertainment,4-6 hours,220,"family,couples,theme park",Requires a larger time and budget commitment
Shenzhen,shenzhen|sz|??,food,Dongmen Snack Street,food street,Luohu,Affordable snacks and lively young crowd atmosphere,1-2 hours,35,"snacks,night walk,budget trips",Weekend crowds are common
Shenzhen,shenzhen|sz|??,food,Baheli Beef Hotpot,hotpot restaurant,Futian,Fresh Chaoshan beef hotpot with strong local popularity,1-1.5 hours,110,"hotpot,friends dinner,evening meal",Expect lines at meal times
Shenzhen,shenzhen|sz|??,food,Sea World Dining Zone,restaurant cluster,Nanshan,Waterfront evening dining with broad cuisine choices,1-2 hours,120,"night view,couples,group meals",Good scenic evening option
Shenzhen,shenzhen|sz|??,food,Huaqiangbei Casual Food Strip,casual dining,Futian,"Fast practical meals, drinks and budget refueling options",0.5-1 hour,30,"quick meal,budget-friendly,convenience",Useful during busy urban days
Shenzhen,shenzhen|sz|??,food,Nantou Ancient City Snacks,food street,Nanshan,Small shops and casual snack wandering inside a historic block,1-2 hours,40,"citywalk,snacks,light route",Good for a slower afternoon
Nanjing,nanjing|nj|??,attraction,Confucius Temple and Qinhuai River,historic district,Qinhuai,Classic night cruise atmosphere and historic riverside streets,2-3 hours,0,"night view,first-time visitors,photography",Most attractive after sunset
Nanjing,nanjing|nj|??,attraction,Sun Yat-sen Mausoleum,memorial park,Xuanwu,Tree-lined approach and major city landmark setting,2-3 hours,0,"landmarks,history,walking",Plan half a day for the wider scenic area
Nanjing,nanjing|nj|??,attraction,Nanjing Museum,museum,Xuanwu,Strong collections for regional history and art,3-4 hours,0,"museum,history,rainy day backup",Popular and worth time
Nanjing,nanjing|nj|??,attraction,Laomendong,historic block,Qinhuai,"Traditional lanes, creative shops and easy snack hopping",1.5-2.5 hours,0,"citywalk,night stroll,snacks",Easy to pair with Qinhuai River
Nanjing,nanjing|nj|??,attraction,Xuanwu Lake,lake park,Xuanwu,Lakeside walking and city wall viewpoints,2-3 hours,0,"walking,photography,family",Best in spring and autumn
Nanjing,nanjing|nj|??,food,Duck Blood Vermicelli Soup,local dish,Qinhuai,Classic Nanjing comfort food with savory broth,0.5-1 hour,22,"signature snack,quick meal,budget-friendly",A practical lunch or snack stop
Nanjing,nanjing|nj|??,food,Xiao Pan Ji Duck Blood Vermicelli,snack shop,Qinhuai,Popular chain for a recognizable local staple,0.5-1 hour,25,"first visit,quick bite,local food",Meal times can involve waiting
Nanjing,nanjing|nj|??,food,Shiziqiao Food Street,food street,Gulou,"Salted duck, dumplings and mixed local snacks",1-2 hours,40,"snacks,night walk,shared tasting",More lively in the evening
Nanjing,nanjing|nj|??,food,Nanjing Impressions,restaurant,Qinhuai,One-stop way to try several Jinling-style dishes,1-1.5 hours,80,"regional dishes,formal meal,family",Good if you want a broader set of local foods
Nanjing,nanjing|nj|??,food,Huiwei Vermicelli Soup,snack shop,Xuanwu,Simple and affordable version of a local favorite,0.5 hour,20,"budget dining,quick meal,local staple",Convenient between attractions
Suzhou,suzhou|szhou|??,attraction,Humble Administrators Garden,classical garden,Gusu,"Top Suzhou garden with water, pavilions and rockeries",2-3 hours,80,"gardens,photography,culture",Weekdays are generally more comfortable
Suzhou,suzhou|szhou|??,attraction,Pingjiang Road,historic street,Gusu,"Canals, small bridges, cafes and gentle street atmosphere",1.5-2.5 hours,0,"citywalk,photography,light route",Nice both in the day and at night
Suzhou,suzhou|szhou|??,attraction,Suzhou Museum,museum,Gusu,I.M. Pei design plus strong local collections,2-3 hours,0,"architecture,museum,rainy day backup",Reservation is helpful
Suzhou,suzhou|szhou|??,attraction,Shantang Street,historic street,Gusu,"Canal night view, storytelling atmosphere and local shops",1.5-2 hours,0,"night walk,first-time visitors,photography",More atmospheric in the evening
Suzhou,suzhou|szhou|??,attraction,Jinji Lake,lakefront,SIP,Modern skyline reflections and easy lakeside walking,1.5-2 hours,0,"night view,couples,walking",Good modern contrast to the old city
Suzhou,suzhou|szhou|??,food,Songhelou Suzhou Cuisine,restaurant,Gusu,Classic Suzhou dishes such as sweet-and-sour mandarin fish,1-1.5 hours,120,"formal meal,regional cuisine,family",A complete Suzhou dining experience
Suzhou,suzhou|szhou|??,food,Yaba Shengjian,snack shop,Gusu,Well-known pan-fried buns with juicy filling,0.5-1 hour,20,"snacks,budget dining,quick bite",Good for breakfast or an extra snack
Suzhou,suzhou|szhou|??,food,Pingjiang Road Snacks,food street,Gusu,"Osmanthus sweets, rice cakes and Jiangnan-style small bites",1-2 hours,35,"snacks,walking,light route",Best for tasting while strolling
Suzhou,suzhou|szhou|??,food,Zhu Hong Xing Noodles,noodle shop,Gusu,Suzhou-style noodles with rich toppings,0.5-1 hour,28,"noodles,old brand,quick meal",Good practical lunch choice
Suzhou,suzhou|szhou|??,food,Guanqian Street Dining,food street,Gusu,Convenient shopping-district dining with many options,1-2 hours,45,"night walk,casual meals,group outings",High convenience for evening plans
